"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
"","99","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","3060","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","71","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","109","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","2896","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","3017","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","1297","testGetListUsersAPI_KiemSoatLinhHoat","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testGetListUsersAPI_KiemSoatLinhHoat"
"","3190","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","4203","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3846","testGetListUsersAPI_QuetToanBo","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testGetListUsersAPI_QuetToanBo"
"","3008","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","12338","testTransferLimits","Default Suite","2026-09-20","broken","2026-09-20","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","77","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","5042","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","1024","testSieuTichHop_LayDanhSachVaDichToaDo","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","Surefire test","com.corebank.api.ApiTest","testSieuTichHop_LayDanhSachVaDichToaDo"
"","1171","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","279","testCloneKhachHang_IntegrationFlow","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","Surefire test","com.corebank.api.ApiTest","testCloneKhachHang_IntegrationFlow"
"","5649","testDichNguocToaDo","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testDichNguocToaDo"
"","1771","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","4083","testGetListUsersAPI","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testGetListUsersAPI"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","281","testJsonPath_BanTiaHangLoat_DanhSach","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testJsonPath_BanTiaHangLoat_DanhSach"
"","138","testGetUserAPI","Default Suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","CoreBankAuToTesst","com.corebank.api.ApiTest","testGetUserAPI"
