"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3017","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","382","testGetListUsersAPI","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","Surefire test","com.corebank.api.ApiTest","testGetListUsersAPI"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","76","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","100","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","5042","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3190","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","1968","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","1458","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3008","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","12338","testTransferLimits","Default Suite","2026-09-20","broken","2026-09-20","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","4203","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","83","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","58","testGetUserAPI","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","Surefire test","com.corebank.api.ApiTest","testGetUserAPI"
"","1721","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3060","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","87","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","91","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
"","2526","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","3013","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","12496","testTransferLimits","Default Suite","2026-09-20","broken","2026-09-20","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
