"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3008","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","144","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","448","testGetUserAPI","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.api.ApiTest","Surefire test","com.corebank.api.ApiTest","testGetUserAPI"
"","138","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","3013","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3060","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3017","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","12496","testTransferLimits","Default Suite","2026-09-20","broken","2026-09-20","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","142","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","2876","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","295","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","132","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
"","12338","testTransferLimits","Default Suite","2026-09-20","broken","2026-09-20","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","2113","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3170","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","5042","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","4203","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","1780","testTransferLimits","Surefire suite","2026-09-26","passed","2026-09-26","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3190","testTransferLimits","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferLimits"
