"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","3098","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","80","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","75","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","3105","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","3140","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","75","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","4111","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","71","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","127","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","64","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
