"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","setupDataViaAPI","Default Suite","2026-09-19","broken","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","setupDataViaAPI"
"","3610","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","108","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","121","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","110","Test Đăng nhập bằng tài khoản ảo vừa tạo","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.IsolatedLoginTest","Surefire test","com.corebank.tests.IsolatedLoginTest","testLoginWithFreshData"
"","5105","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","288","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
"","255","Test tính năng Chuyển tiền (Transfer Funds)","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.ParabankRealTest","Surefire test","com.corebank.tests.ParabankRealTest","testMoneyTransfer"
"","3614","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","4058","testTransferLimits","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","Surefire test","com.corebank.tests.HybridTransferTest","testTransferLimits"
"","5634","testTransferMoneyViaUI","Default Suite","2026-09-19","passed","2026-09-19","com.corebank.tests.HybridTransferTest","CoreBankAuToTesst","com.corebank.tests.HybridTransferTest","testTransferMoneyViaUI"
"","110","Kiểm tra Đăng nhập Data-Driven","Surefire suite","2026-09-19","passed","2026-09-19","com.corebank.tests.LoginAPITest","Surefire test","com.corebank.tests.LoginAPITest","testLogin"
